dollar_rate,days
6.73,1
6.75,2
6.76,3
6.76,4
6.77,5
6.78,6
6.78,7
6.78,8
6.78,9
6.78,10
6.79,11
6.79,12
6.79,13
6.81,14
6.81,15
6.81,16
6.82,17
6.83,18
6.83,19
6.83,20
6.84,21
6.84,22
6.84,23
6.84,24
6.84,25
6.84,26
6.84,27
6.84,28
6.84,29
6.84,30
6.84,31
6.84,32
6.84,33
6.84,34
6.84,35
6.84,36
6.85,37
6.85,38
6.85,39
6.85,40
6.85,41
6.85,42
6.85,43
6.85,44
6.85,45
6.85,46
6.86,47
6.88,48
6.90,49
6.91,50
6.91,51
6.91,52
6.92,53
6.93,54
6.94,55
6.94,56
6.95,57
6.95,58
6.96,59
6.96,60
6.96,61
6.97,62
6.97,63
6.97,64
6.97,65
6.98,66
6.98,67
6.99,68
6.99,69
6.99,70
7.00,71
7.01,72
7.02,73
7.02,74
7.03,75
7.04,76
7.05,77
7.06,78
7.07,79
7.07,80
7.08,81
7.08,82
7.10,83
7.13,84
7.13,85
7.14,86
7.14,87
7.15,88
7.16,89
7.19,90
7.22,91
7.22,92
7.22,93
7.25,94
7.27,95
7.27,96
7.27,97
7.29,98
7.30,99
7.30,100
7.30,101
7.31,102
7.31,103
7.31,104
7.32,105
7.32,106
7.33,107
7.33,108
7.34,109
7.34,110
7.34,111
7.34,112
7.34,113
7.35,114
7.35,115
7.35,116
7.35,117
7.36,118
7.36,119
7.37,120
7.37,121
7.37,122
7.37,123
7.37,124
7.38,125
7.38,126
7.38,127
7.39,128
7.39,129
7.39,130
7.40,131
7.40,132
7.41,133
7.41,134
7.42,135
7.43,136
7.43,137
7.44,138
7.44,139
7.44,140
7.44,141
7.45,142
7.45,143
7.45,144
7.46,145
7.46,146
7.46,147
7.47,148
7.47,149
7.47,150
7.47,151
7.47,152
7.50,153
7.50,154
7.50,155
7.51,156
7.52,157
7.53,158
7.54,159
7.55,160
7.55,161
7.57,162
7.57,163
7.58,164
7.59,165
7.60,166
7.62,167
7.63,168
7.63,169
7.63,170
7.64,171
7.64,172
7.66,173
7.66,174
7.67,175
7.68,176
7.68,177
7.69,178
7.69,179
7.72,180
7.73,181
7.73,182
7.74,183
7.75,184
7.75,185
7.75,186
7.75,187
7.76,188
7.78,189
7.79,190
7.79,191
7.79,192
7.80,193
7.80,194
7.81,195
7.81,196
7.81,197
7.81,198
7.82,199
7.82,200
7.83,201
7.83,202
7.84,203
7.84,204
7.85,205
7.85,206
7.87,207
7.87,208
7.88,209
7.88,210
7.88,211
7.89,212
7.89,213
7.90,214
7.91,215
7.91,216
7.91,217
7.92,218
7.92,219
7.93,220
7.94,221
7.94,222
7.94,223
7.97,224
7.99,225
8.03,226
8.04,227
8.05,228
8.05,229
8.06,230
8.06,231
8.07,232
8.10,233
8.12,234
8.12,235
8.12,236
8.14,237
8.14,238
8.14,239
8.14,240
8.14,241
8.15,242
8.17,243
8.17,244
8.17,245
8.18,246
8.18,247
8.19,248
8.23,249
8.23,250
8.24,251
8.25,252
8.26,253
8.27,254
8.27,255
8.28,256
8.29,257
8.29,258
8.29,259
8.29,260
8.30,261
8.30,262
8.30,263
8.31,264
8.31,265
8.31,266
8.32,267
8.33,268
8.33,269
8.33,270
8.33,271
8.34,272
8.34,273
8.35,274
8.35,275
8.36,276
8.36,277
8.37,278
8.38,279
8.38,280
8.38,281
8.38,282
8.39,283
8.39,284
8.40,285
8.41,286
8.41,287
8.41,288
8.41,289
8.42,290
8.43,291
8.43,292
8.43,293
8.43,294
8.44,295
8.44,296
8.44,297
8.45,298
8.46,299
8.46,300
8.46,301
8.46,302
8.47,303
8.47,304
8.50,305
8.50,306
8.50,307
8.51,308
8.51,309
8.51,310
8.52,311
8.53,312
8.53,313
8.53,314
8.54,315
8.54,316
8.55,317
8.55,318
8.56,319
8.56,320
8.57,321
8.57,322
8.57,323
8.58,324
8.59,325
8.60,326
8.61,327
8.61,328
8.61,329
8.62,330
8.62,331
8.62,332
8.62,333
8.62,334
8.63,335
8.63,336
8.63,337
8.64,338
8.65,339
8.66,340
8.66,341
8.66,342
8.66,343
8.67,344
8.67,345
8.67,346
8.68,347
8.68,348
8.68,349
8.68,350
8.68,351
8.69,352
8.71,353
8.72,354
8.72,355
8.75,356
8.82,357
8.84,358
8.84,359
8.84,360
8.85,361
8.85,362
8.86,363
8.86,364
8.88,365
8.90,366
8.91,367
8.94,368
9.00,369
9.02,370
9.14,371
9.20,372
9.27,373
9.28,374
9.29,375
9.31,376
9.46,377
9.48,378
9.48,379
9.52,380
9.53,381
9.59,382
9.66,383
9.68,384
9.69,385
9.70,386
9.70,387
9.74,388
9.78,389
9.91,390
9.92,391
9.98,392
10.17,393
10.40,394
10.70,395
11.03,396
11.17,397
11.39,398
11.45,399
11.73,400
11.83,401
12.00,402
12.08,403
12.16,404
12.22,405
12.45,406
12.61,407
12.66,408
12.94,409
12.98,410
13.02,411
13.19,412
13.33,413
13.34,414
13.37,415
13.37,416
13.38,417
13.40,418
13.40,419
13.41,420
13.42,421
13.43,422
13.44,423
13.48,424
13.49,425
13.50,426
13.50,427
13.51,428
13.51,429
13.53,430
13.53,431
13.54,432
13.54,433
13.54,434
13.55,435
13.57,436
13.57,437
13.59,438
13.60,439
13.60,440
13.61,441
13.61,442
13.61,443
13.62,444
13.62,445
13.62,446
13.64,447
13.67,448
13.68,449
13.72,450
13.72,451
13.73,452
13.74,453
13.74,454
13.75,455
13.77,456
13.78,457
13.83,458
13.83,459
13.89,460
14.04,461
14.04,462
14.11,463
14.17,464
14.18,465
14.23,466
14.25,467
14.30,468
14.47,469
14.56,470
14.59,471
14.61,472
14.62,473
14.63,474
14.63,475
14.64,476
14.64,477
14.64,478
14.65,479
14.66,480
14.66,481
14.66,482
14.67,483
14.68,484
14.69,485
14.70,486
14.71,487
14.72,488
14.72,489
14.72,490
14.73,491
14.74,492
14.74,493
14.75,494
14.76,495
14.76,496
14.77,497
14.78,498
14.79,499
14.79,500
14.80,501
14.80,502
14.81,503
14.81,504
14.82,505
14.82,506
14.82,507
14.83,508
14.90,509
14.90,510
14.97,511
15.19,512
15.21,513
15.29,514
15.35,515
15.44,516
15.56,517
15.79,518
15.85,519
15.92,520
15.92,521
16.08,522
16.27,523
16.34,524
16.35,525
16.36,526
16.37,527
16.39,528
16.41,529
16.44,530
16.48,531
16.56,532
16.62,533
16.65,534
16.66,535
16.67,536
16.71,537
16.72,538
16.79,539
16.94,540
17.06,541
17.09,542
17.18,543
17.20,544
17.23,545
17.23,546
17.26,547
17.26,548
17.26,549
17.29,550
17.29,551
17.31,552
17.32,553
17.33,554
17.35,555
17.35,556
17.39,557
17.46,558
17.46,559
17.47,560
17.54,561
17.56,562
17.63,563
17.71,564
17.80,565
17.83,566
17.87,567
17.89,568
17.90,569
17.93,570
17.93,571
17.93,572
17.93,573
17.94,574
17.94,575
17.94,576
17.94,577
17.94,578
17.94,579
17.94,580
17.94,581
17.94,582
17.97,583
18.08,584
18.10,585
18.10,586
18.12,587
18.15,588
18.16,589
18.16,590
18.17,591
18.18,592
18.20,593
18.20,594
18.21,595
18.21,596
18.22,597
18.22,598
18.22,599
18.22,600
18.23,601
18.24,602
18.25,603
18.27,604
18.28,605
18.29,606
18.34,607
18.37,608
18.43,609
18.45,610
18.49,611
18.50,612
18.51,613
18.52,614
18.54,615
18.54,616
18.56,617
18.56,618
18.56,619
18.56,620
18.56,621
18.56,622
18.57,623
18.57,624
18.57,625
18.57,626
18.57,627
18.57,628
18.57,629
18.58,630
18.58,631
18.58,632
18.58,633
18.58,634
18.58,635
18.58,636
18.59,637
18.59,638
18.59,639
18.59,640
18.59,641
18.59,642
18.59,643
18.59,644
18.60,645
18.60,646
18.60,647
18.60,648
18.60,649
18.60,650
18.60,651
18.61,652
18.61,653
18.61,654
18.61,655
18.61,656
18.61,657
18.61,658
18.61,659
18.62,660
18.62,661
18.62,662
18.62,663
18.62,664
18.62,665
18.63,666
18.63,667
18.63,668
18.63,669
18.64,670
18.64,671
18.65,672
18.66,673
18.66,674
18.68,675
18.70,676
18.70,677
18.70,678
18.70,679
18.71,680
18.72,681
18.74,682
18.75,683
18.75,684
18.76,685
18.76,686
18.76,687
18.76,688
18.77,689
18.77,690
18.77,691
18.77,692
18.77,693
18.78,694
18.78,695
18.79,696
18.79,697
18.79,698
18.79,699
18.79,700
18.79,701
18.79,702
18.79,703
18.81,704
18.81,705
18.81,706
18.81,707
18.81,708
18.82,709
18.82,710
18.83,711
18.83,712
18.84,713
18.84,714
18.85,715
18.85,716
18.85,717
18.86,718
18.86,719
18.86,720
18.86,721
18.87,722
18.87,723
18.88,724
18.89,725
18.91,726
18.93,727
18.94,728
18.95,729
18.95,730
18.96,731
18.98,732
18.98,733
18.99,734
19.00,735
19.02,736
19.02,737
19.04,738
19.07,739
19.08,740
19.11,741
19.15,742
19.15,743
19.18,744
19.20,745
19.23,746
19.23,747
19.24,748
19.24,749
19.26,750
19.29,751
19.31,752
19.34,753